"","V1","V2"
"1","AAL.L","1.122e+10"
"2","ABF.L","2.353e+10"
"3","ADM.L","5.69e+09"
"4","ADN.L","4.17e+09"
"5","AGK.L","2.72e+09"
"6","AMFW.L","2.11e+09"
"7","ANA.L","9.429e+11"
"8","ARM.L","2.376e+10"
"9","ASHM.L","2.42e+09"
"10","ATK.L","1.46e+09"
"11","AV.L","1.679e+10"
"12","AVV.L","1.23e+09"
"13","AZN.L","6.398e+10"
"14","BA.L","1.676e+10"
"15","BARC.L","2.217e+10"
"16","BATS.L","9.053e+10"
"17","BBY.L","1.77e+09"
"18","BCA.L","1.49e+09"
"19","BDEV.L","4.51e+09"
"20","BEZ.L","2.01e+09"
"21","BFA.L","6.643e+10"
"22","BGEO.L","1.03e+09"
"23","BKG.L","3.43e+09"
"24","BKIR.L","5.82e+09"
"25","BLT.L","5.604e+10"
"26","BME.L","2.78e+09"
"27","BNC.L","5.032e+10"
"28","BNZL.L","7.91e+09"
"29","BOE.L","8.394e+10"
"30","BOK.L","3.1e+09"
"31","BP.L","8.156e+10"
"32","BRBY.L","6.01e+09"
"33","BWO.L","1.25e+09"
"34","BWY.L","2.64e+09"
"35","BYG.L","1.14e+09"
"36","CAPC.L","2.41e+09"
"37","CBG.L","1.99e+09"
"38","CCH.L","6.22e+09"
"39","CEY.L","2.04e+09"
"40","CNA.L","1.225e+10"
"41","CNE.L","1.16e+09"
"42","COB.L","2.2e+09"
"43","CPG.L","2.472e+10"
"44","CPI.L","6.76e+09"
"45","DGE.L","5.469e+10"
"46","DLG.L","5.04e+09"
"47","DLN.L","3.02e+09"
"48","DMGT.L","2.51e+09"
"49","DNLM.L","1.79e+09"
"50","DOM.L","1.84e+09"
"51","DRX.L","1.24e+09"
"52","ECM.L","1.34e+09"
"53","ELM.L","1.04e+09"
"54","EMG.L","1.88e+09"
"55","ERM.L","1.33e+09"
"56","ESNT.L","1.3e+09"
"57","ESUR.L","1.1e+09"
"58","ETO.L","1.06e+09"
"59","EVR.L","2.13e+09"
"60","EWG.L","1.172e+10"
"61","EXPN.L","1.423e+10"
"62","EZJ.L","4.35e+09"
"63","FGP.L","1.27e+09"
"64","FRES.L","1.429e+10"
"65","GFS.L","3.54e+09"
"66","GFTU.L","1.24e+09"
"67","GKN.L","5.31e+09"
"68","GLEN.L","2.681e+10"
"69","GNC.L","1.4e+09"
"70","GNK.L","2.52e+09"
"71","GNS.L","1.14e+09"
"72","GPOR.L","2.25e+09"
"73","GSK.L","8.111e+10"
"74","HAS.L","1.81e+09"
"75","HIK.L","4.56e+09"
"76","HL.L","6.3e+09"
"77","HMSO.L","4.48e+09"
"78","HOME.L","1.27e+09"
"79","HON.L","8.822e+10"
"80","HSBA.L","9.69e+10"
"81","HSV.L","1.76e+09"
"82","HSX.L","2.97e+09"
"83","HWDN.L","2.83e+09"
"84","IAG.L","7.46e+09"
"85","IAP.L","3.06e+09"
"86","IBM.L","1.5344e+11"
"87","ICP.L","1.66e+09"
"88","IGG.L","3.45e+09"
"89","IHG.L","7.67e+09"
"90","IMI.L","2.94e+09"
"91","INCH.L","3.07e+09"
"92","INDV.L","2.31e+09"
"93","INF.L","4.64e+09"
"94","IPO.L","1.07e+09"
"95","ISAT.L","3.72e+09"
"96","ITRK.L","5.83e+09"
"97","ITV.L","7.85e+09"
"98","JD.L","2.53e+09"
"99","JDW.L","1.03e+09"
"100","JE.L","3.98e+09"
"101","JEL.L","1.294e+10"
"102","JLT.L","2.17e+09"
"103","JPM.L","2.3569e+11"
"104","JUP.L","1.87e+09"
"105","KGF.L","8.41e+09"
"106","KGP.L","4.03e+09"
"107","KIE.L","1.12e+09"
"108","KNM.L","4.9228e+11"
"109","KYGA.L","1.36e+10"
"110","LAD.L","1.6e+09"
"111","LAND.L","8.56e+09"
"112","LGEN.L","1.22e+10"
"113","LLOY.L","3.205e+10"
"114","LRE.L","1.21e+09"
"115","MAB.L","1.08e+09"
"116","MCRO.L","4.64e+09"
"117","MEL.L","2.78203e+12"
"118","MERL.L","4.93e+09"
"119","MGGT.L","3.57e+09"
"120","MKS.L","5.47e+09"
"121","MLC.L","1.34e+09"
"122","MNDI.L","7.65e+09"
"123","MRW.L","4.54e+09"
"124","NG.L","4.048e+10"
"125","NXT.L","7.96e+09"
"126","OCDO.L","1.66e+09"
"127","OML.L","9.69e+09"
"128","PETS.L","1.24e+09"
"129","PFC.L","2.95e+09"
"130","PFG.L","4.14e+09"
"131","PFZ.L","2.123e+11"
"132","PHNX.L","1.86e+09"
"133","PNN.L","3.68e+09"
"134","POLY.L","5.02e+09"
"135","PRU.L","3.551e+10"
"136","PSON.L","7.06e+09"
"137","PTEC.L","2.87e+09"
"138","PZC.L","1.42e+09"
"139","QQ.L","1.33e+09"
"140","RB.L","5.235e+10"
"141","RBS.L","2.196e+10"
"142","RDSB.L","1.608e+11"
"143","RDW.L","1.25e+09"
"144","REL.L","2.989e+10"
"145","RGU.L","2.88e+09"
"146","RIGD.IL","9.842355e+13"
"147","RIO.L","4.4e+10"
"148","RMG.L","5.15e+09"
"149","ROR.L","1.81e+09"
"150","RPC.L","1.64e+09"
"151","RR.L","1.451e+10"
"152","RRS.L","7.82e+09"
"153","RSA.L","5.15e+09"
"154","RSW.L","1.94e+09"
"155","RTO.L","4e+09"
"156","RYA.L","1.505e+10"
"157","SAB.L","7.035e+10"
"158","SAGA.L","2.39e+09"
"159","SBRY.L","4.64e+09"
"160","SDR.L","7.5e+09"
"161","SDRC.L","5.58e+09"
"162","SGE.L","7.92e+09"
"163","SGP.L","1.29e+09"
"164","SHB.L","2.66e+09"
"165","SHP.L","3.462e+10"
"166","SKY.L","1.452e+10"
"167","SL.L","6.96e+09"
"168","SMDS.L","3.94e+09"
"169","SMIN.L","5.35e+09"
"170","SMWH.L","1.77e+09"
"171","SN.L","1.122e+10"
"172","SPD.L","1.78e+09"
"173","SPI.L","1.38e+09"
"174","SPX.L","3.21e+09"
"175","SRP.L","1.41e+09"
"176","SSE.L","1.528e+10"
"177","SSPG.L","1.57e+09"
"178","STAN.L","2.05e+10"
"179","STJ.L","4.96e+09"
"180","SVS.L","1.03e+09"
"181","SVT.L","5.68e+09"
"182","SXS.L","2.33e+09"
"183","TALK.L","2.07e+09"
"184","TATE.L","3.43e+09"
"185","TCG.L","1.01e+09"
"186","TED.L","1.1e+09"
"187","TLW.L","2.13e+09"
"188","TPK.L","3.87e+09"
"189","TSCO.L","1.294e+10"
"190","TTA.L","1.0291e+11"
"191","TW.L","4.99e+09"
"192","TYT.L","1.816445e+13"
"193","UBM.L","2.68e+09"
"194","ULE.L","1.21e+09"
"195","ULVR.L","1.0238e+11"
"196","UTG.L","1.38e+09"
"197","UU.L","6.73e+09"
"198","VCT.L","1.32e+09"
"199","VED.L","1.52e+09"
"200","VM.L","1.26e+09"
"201","VOD.L","6.243e+10"
"202","VSVS.L","1.02e+09"
"203","WEIR.L","3.36e+09"
"204","WG.L","2.7e+09"
"205","WKP.L","1.06e+09"
"206","WMH.L","2.76e+09"
"207","WOS.L","1.093e+10"
"208","WPP.L","2.249e+10"
"209","WTB.L","7.41e+09"
"210","ZPLA.L","1.25e+09"
